Index,Time,Gene1,Gene2,Gene3,Gene4,Gene5,Gene6,Gene7,Gene8,Gene9,Gene10,Gene11,Gene12,Gene13,Gene14,Gene15,Gene16,Gene17,Gene18,Gene19,Gene20,Gene21,Gene22,Gene23,Gene24,Gene25,Gene26,Gene27,Gene28,Gene29,Gene30,Gene31,Gene32,Gene33,Gene34,Gene35,Gene36,Gene37,Gene38,Gene39,Gene40,Gene61,Gene62,Gene63,Gene64,Gene65,Gene66,Gene67,Gene68,Gene69,Gene70,Gene71,Gene72,Gene73,Gene74,Gene75,Gene76,Gene77,Gene78,Gene79,Gene80,Gene41,Gene42,Gene43,Gene44,Gene45,Gene46,Gene47,Gene48,Gene49,Gene50,Gene51,Gene52,Gene53,Gene54,Gene55,Gene56,Gene57,Gene58,Gene59,Gene60
Cell224,0.44689378757515025,11,17,44,13,25,20,6,13,103,39,2,0,2,2,4,1,2,1,3,0,1,1,1,1,6,0,0,1,1,6,2,1,5,2,1,6,3,0,0,7,1376,7871,552,10198,9734,5466,255,1646,7158,4127,15,13,4,14,4,19,24,18,8,3,0,11,7,1,10,3,3,1,1,0,2,20,1,15,1,26,2,1,53,28
Cell225,0.4488977955911823,33,118,71,18,30,35,9,15,13,22,3,0,0,0,1,5,3,0,0,6,0,2,2,0,1,1,2,2,1,1,2,1,7,25,6,0,0,0,0,6,446,8070,3021,2354,52516,6532,298,1293,11729,6979,23,7,15,27,11,11,5,3,19,6,4,3,3,1,19,0,2,0,2,0,4,9,8,12,3,26,1,4,76,20
Cell226,0.4509018036072144,9,35,42,41,11,27,4,6,40,3,3,3,2,2,0,6,4,1,5,2,1,1,1,6,4,0,3,0,4,7,2,1,1,1,7,0,2,2,1,1,775,1806,5752,3765,10061,982,256,882,2622,8438,7,6,5,24,7,26,10,2,9,6,3,19,3,2,5,1,0,1,4,2,2,12,13,13,7,8,0,4,62,15
Cell227,0.45290581162324645,13,31,19,20,48,33,2,6,11,16,1,0,4,6,2,1,1,2,2,2,0,1,2,1,0,0,2,1,2,2,4,2,0,8,2,1,0,2,1,6,365,8195,8179,10087,30921,13207,424,467,4087,1325,14,26,15,4,8,8,32,24,10,45,4,7,5,1,10,3,1,4,1,0,1,3,11,6,11,37,0,3,112,19
Cell228,0.4549098196392785,6,64,51,47,27,27,1,5,17,40,1,0,1,3,2,1,3,0,2,6,2,5,3,0,4,0,0,1,2,1,3,1,3,13,13,0,2,4,1,8,159,3371,2581,1948,9916,8523,226,412,5146,3407,6,28,25,9,7,18,12,17,29,10,2,15,15,3,6,0,1,4,1,3,5,12,7,7,3,12,6,0,14,8
Cell229,0.4569138276553106,5,24,35,33,138,57,4,27,75,23,0,1,0,0,4,3,3,2,3,9,1,9,1,0,10,3,7,0,0,4,0,0,3,10,3,1,1,2,2,8,657,3253,6764,3220,2537,2093,739,530,3185,2147,3,12,7,22,14,4,22,7,4,42,2,1,7,1,6,0,4,3,2,0,2,7,4,28,5,53,10,7,43,44
Cell230,0.45891783567134264,1,16,16,19,227,97,8,30,77,23,1,0,2,1,3,1,2,3,1,1,2,2,1,1,1,3,2,3,0,3,2,0,1,6,2,0,0,2,2,3,839,4162,4557,4956,6889,5430,498,976,4153,5753,6,14,9,11,6,21,19,15,25,11,2,15,11,0,27,4,3,0,1,3,8,7,11,45,3,18,1,4,12,21
Cell231,0.4609218436873747,16,37,34,16,94,36,12,10,41,13,0,3,4,1,0,1,1,4,2,0,2,2,3,0,2,0,0,2,0,4,1,1,4,11,8,1,1,0,2,4,266,2382,1967,3663,22046,1139,72,805,5137,3482,8,18,21,26,15,7,19,5,18,13,5,9,7,0,4,1,2,7,0,1,1,8,6,18,3,11,0,4,17,9
Cell232,0.4629258517034068,24,13,79,22,159,14,3,7,74,38,9,2,0,2,0,0,7,8,6,1,1,3,0,1,0,0,0,2,1,3,5,4,5,5,1,2,1,4,1,7,551,8984,5485,7175,16333,3752,74,1318,2484,5000,17,13,10,12,11,3,14,20,2,47,4,16,5,11,1,1,1,5,1,5,4,3,7,19,14,13,3,0,75,29
Cell233,0.46492985971943884,7,22,9,40,133,81,5,14,37,34,3,3,0,3,6,3,0,1,3,1,1,2,3,0,11,2,1,2,1,3,2,2,1,7,6,2,1,1,0,6,1032,13176,3268,16692,4931,4802,200,851,5882,1023,7,38,9,2,16,27,35,7,9,19,0,20,10,6,13,0,3,5,1,1,3,2,3,15,21,20,1,5,76,27
Cell234,0.4669338677354709,6,56,23,96,92,37,21,5,8,23,0,0,1,0,8,0,2,3,5,3,2,1,2,1,1,0,1,3,0,1,2,0,2,3,1,0,0,1,2,8,601,6928,7241,1000,23690,8780,229,1381,1739,4447,3,16,11,31,12,3,8,5,13,26,3,10,12,11,14,0,2,1,4,8,1,5,10,14,2,42,1,4,40,23
Cell235,0.468937875751503,17,84,43,52,179,10,11,24,86,39,2,4,1,2,1,4,0,1,0,1,2,0,4,1,2,0,0,3,2,0,2,0,5,9,2,1,2,2,0,12,301,1471,6749,4994,3789,6707,276,824,1619,1665,1,25,10,28,7,7,10,12,7,5,2,13,1,3,23,0,8,7,2,2,4,5,4,11,0,6,0,7,71,3
Cell236,0.47094188376753504,4,69,19,147,245,24,10,20,21,8,2,4,0,0,0,3,5,0,0,0,0,1,3,1,0,0,5,1,2,2,2,3,1,2,5,1,3,0,9,13,179,8665,5780,4537,13940,4052,426,1692,1234,2474,12,6,9,5,2,28,7,10,5,5,8,18,4,1,42,1,11,5,2,4,1,11,10,4,14,4,0,0,35,52
Cell237,0.4729458917835671,26,27,19,39,41,14,14,7,56,22,0,4,1,1,1,1,0,2,2,2,1,2,0,2,1,2,4,4,2,2,1,0,5,1,0,1,0,1,0,1,367,8440,1475,10113,6220,5358,323,1329,1860,6015,9,5,10,28,4,17,4,15,6,1,3,15,6,5,4,0,0,10,0,0,1,8,2,4,2,11,1,2,8,15
Cell238,0.4749498997995992,5,41,31,38,133,52,5,5,134,29,2,1,2,2,3,0,2,0,2,3,1,1,0,0,1,0,0,4,1,0,1,0,3,3,0,2,3,1,1,7,469,5282,2464,1102,3940,3889,69,388,3701,6916,7,7,0,8,3,5,27,15,10,5,2,9,17,4,7,1,4,1,1,2,6,7,10,9,2,7,2,0,78,14
Cell239,0.47695390781563124,2,25,57,40,51,29,9,6,18,13,0,0,0,1,0,0,1,1,1,0,4,1,7,0,4,2,1,3,0,1,0,1,5,2,5,0,1,0,0,5,218,6757,5783,2313,9415,12932,583,933,620,5052,6,3,13,9,15,10,13,10,35,14,4,4,5,4,44,0,5,3,4,2,0,2,4,8,6,1,0,1,18,16
Cell240,0.4789579158316633,6,22,43,46,106,66,2,19,2,25,3,3,1,2,2,7,2,0,1,3,2,1,3,1,3,2,0,4,2,1,1,0,3,2,6,0,0,1,0,4,740,6010,8013,10075,12691,1590,381,580,5293,2809,15,6,4,4,10,12,16,0,17,6,4,4,6,3,10,1,3,5,1,4,2,5,1,11,3,17,0,3,48,32
Cell241,0.48096192384769537,3,28,81,17,54,49,2,24,42,17,1,5,2,1,0,2,6,0,4,1,1,1,0,0,1,0,2,1,0,0,0,3,0,3,7,1,2,0,1,2,270,7657,3188,12302,20556,3213,388,1008,3718,3651,20,4,2,13,22,17,19,12,21,13,1,9,9,5,4,1,4,7,7,4,6,4,5,24,2,23,0,1,114,7
Cell242,0.48296593186372744,6,57,38,13,70,76,10,4,149,19,0,1,0,9,2,5,0,1,1,2,2,1,5,0,8,0,0,2,10,4,8,2,1,1,0,3,3,0,0,1,692,9618,3308,4651,10961,5142,134,271,2469,7174,33,10,15,14,8,7,4,6,3,16,2,8,11,5,6,5,2,3,0,1,5,8,3,14,0,14,0,1,15,5
Cell243,0.4849699398797595,30,107,29,118,27,20,0,15,35,37,3,6,2,2,6,2,0,3,0,2,2,0,0,1,2,0,1,2,1,1,3,3,8,1,3,4,1,2,0,3,473,9109,5960,825,62810,4026,332,675,4335,8598,12,6,10,34,1,12,6,4,24,11,0,20,8,17,12,2,6,1,0,2,0,6,2,14,2,28,1,2,2,0
Cell244,0.48697394789579157,9,35,63,78,119,25,12,25,55,22,1,4,1,0,0,4,1,4,0,4,0,0,10,0,3,4,0,0,1,1,0,0,3,12,7,1,0,1,1,5,283,2755,1429,11788,17182,5128,468,344,5895,4514,25,8,0,2,3,17,22,9,9,12,2,3,1,5,5,7,8,1,11,5,0,4,4,11,1,10,8,4,34,5
Cell245,0.4889779559118236,25,34,14,41,31,54,0,23,41,21,2,2,2,0,1,1,0,0,1,0,0,1,4,0,2,1,5,2,0,5,2,3,0,8,2,1,6,1,1,13,144,1892,1219,4651,12787,3420,146,636,5230,3999,25,11,23,25,6,6,19,11,12,5,1,16,15,1,8,3,6,7,13,3,3,2,2,7,4,11,2,0,117,6
Cell246,0.49098196392785565,0,7,80,15,67,112,14,7,48,8,1,2,2,2,0,4,5,2,8,3,0,3,2,2,7,3,3,1,0,1,2,4,5,17,0,2,1,2,0,6,1006,1226,1551,2130,25572,13965,391,950,4289,3390,6,8,3,19,15,28,15,11,19,26,14,5,5,3,12,2,4,0,2,1,3,1,0,2,1,7,0,3,26,13
Cell247,0.4929859719438877,18,24,51,39,132,78,21,18,29,26,1,1,0,0,7,0,1,0,2,3,1,2,3,0,9,2,2,5,1,8,0,4,0,5,1,0,0,2,0,12,393,5263,2812,2699,21234,12995,158,221,7137,5859,3,12,0,15,2,34,20,22,22,14,6,7,20,5,14,3,2,7,1,4,4,3,4,9,2,9,2,0,42,18
Cell248,0.4949899799599198,6,53,79,28,85,57,5,10,71,48,2,2,0,1,0,0,1,1,0,1,0,0,2,5,2,3,3,0,0,1,1,1,11,5,7,0,0,2,0,3,335,4732,7812,4477,14020,3771,325,540,6831,4624,14,24,9,30,8,15,8,16,15,29,0,22,18,6,19,0,1,1,4,3,6,2,10,1,2,8,0,2,30,28
Cell249,0.49699398797595185,3,19,45,63,74,11,7,14,45,48,0,2,4,0,1,0,3,0,1,1,6,0,1,1,16,0,0,2,0,4,0,0,4,9,4,0,1,1,3,4,597,7807,2910,5953,24325,5328,175,1198,12020,2513,16,12,1,16,1,11,6,19,9,25,4,7,11,8,4,1,2,6,2,7,11,0,4,6,2,5,0,4,35,6
Cell250,0.4989979959919839,18,46,17,67,57,31,4,33,45,67,0,5,2,2,0,1,1,0,0,0,2,3,5,0,4,2,1,3,1,4,3,3,2,7,4,2,0,2,0,7,454,4404,1203,4868,1586,4150,628,1132,2186,6357,37,9,6,3,4,6,16,5,4,34,4,4,10,14,31,3,7,9,0,5,1,0,6,2,0,14,1,2,20,12
Cell251,0.501002004008016,2,23,26,18,18,24,1,3,55,47,2,3,0,2,0,1,0,1,1,2,0,0,2,1,2,0,1,1,1,3,1,5,3,0,0,0,0,2,1,7,524,4932,973,1592,17392,5651,182,2407,6547,8698,13,9,15,12,6,12,13,12,15,33,1,8,9,2,37,0,3,6,7,3,3,0,1,6,1,27,1,2,51,15
Cell252,0.503006012024048,14,102,46,75,53,39,12,6,120,31,1,4,3,1,0,5,3,3,2,2,1,0,4,1,10,0,3,4,0,1,0,1,2,3,12,3,4,2,5,2,101,12404,7042,4909,4657,7504,669,1782,2471,5139,4,23,13,20,0,6,27,6,3,19,3,11,1,7,16,4,2,4,2,0,1,2,2,4,0,10,4,1,28,4
Cell253,0.5050100200400801,13,62,49,110,219,82,3,3,80,13,4,1,0,3,2,0,1,4,0,2,2,1,7,0,1,0,2,1,0,2,2,6,1,7,5,2,3,2,0,3,163,11659,4810,13142,5593,7116,23,2104,2503,5905,18,2,7,24,11,16,21,10,6,10,1,15,12,1,53,1,6,4,1,4,0,4,5,9,0,11,3,3,28,14
Cell254,0.5070140280561122,8,44,55,36,100,31,5,7,31,26,0,2,6,1,1,8,2,0,0,3,0,0,1,0,7,0,4,3,0,3,1,3,5,4,2,1,0,1,4,2,844,5375,1542,7925,9253,4952,409,798,1634,1018,4,12,11,35,3,5,12,22,10,10,6,15,4,6,5,6,6,7,12,6,2,1,5,6,2,15,1,0,36,12
Cell255,0.5090180360721442,3,95,14,75,196,7,12,16,9,55,1,3,2,0,0,4,2,2,2,3,1,2,5,0,1,0,2,1,4,3,2,2,2,8,1,0,1,1,1,1,192,5621,4449,7647,9699,6406,292,409,4245,3581,13,10,14,10,4,5,4,14,10,14,2,1,16,3,45,3,6,2,1,5,2,6,1,5,1,15,0,3,77,4
Cell256,0.5110220440881763,16,70,22,24,17,17,7,26,88,22,1,4,1,1,3,3,1,5,4,5,0,2,7,1,3,3,3,3,0,1,1,2,3,2,0,0,0,1,1,7,1450,7710,3523,7223,24761,15038,334,999,3747,7335,6,1,10,20,14,6,15,18,7,20,1,4,10,7,18,6,5,9,0,0,4,0,1,6,2,7,1,1,49,2
Cell257,0.5130260521042084,2,12,45,55,328,53,7,12,94,43,1,3,2,0,0,2,2,0,0,2,2,3,4,2,7,0,4,1,1,1,1,0,6,1,1,5,2,0,1,4,176,1592,3619,4798,6631,1694,44,675,1488,4413,5,3,7,9,16,3,6,14,23,29,6,5,6,4,35,4,2,4,3,3,1,4,1,3,3,5,0,0,17,13
Cell258,0.5150300601202404,3,55,67,39,82,15,7,14,58,55,2,2,1,0,2,8,0,0,0,1,0,0,3,0,1,5,1,3,8,2,2,2,1,2,2,1,0,1,4,3,307,7829,925,1796,8085,5676,364,1081,7753,5950,8,21,9,13,0,31,23,14,3,6,3,18,17,10,74,6,9,2,1,2,0,0,1,7,6,9,1,1,5,7
Cell259,0.5170340681362725,3,37,24,54,34,9,1,14,41,51,0,1,0,1,2,2,0,0,1,1,0,3,3,0,0,3,3,1,0,3,0,2,4,2,1,4,1,0,1,18,361,3409,2827,856,5210,2944,293,1243,515,1801,25,15,15,34,3,0,11,2,8,11,5,7,20,8,26,0,13,5,2,7,2,4,3,3,11,2,5,0,50,9
Cell260,0.5190380761523046,6,102,56,7,82,23,14,18,22,11,1,1,2,0,1,0,0,3,1,0,2,4,0,0,8,2,2,2,5,3,0,4,6,2,3,2,0,3,2,9,914,13841,6724,5775,10833,7139,214,430,2736,5718,5,13,6,20,43,5,8,12,3,50,3,29,21,7,31,3,4,1,5,4,0,2,2,3,4,11,2,2,52,9
Cell261,0.5210420841683366,5,42,31,29,23,46,16,11,57,32,3,2,1,0,2,0,2,2,0,6,1,4,3,1,9,1,2,3,1,4,2,3,4,15,0,3,3,0,3,1,1755,5533,2776,4776,1047,3737,71,728,2806,1462,10,12,2,7,44,7,6,19,2,17,2,29,19,9,8,3,1,6,3,1,9,5,2,10,3,4,1,0,32,9
Cell262,0.5230460921843687,10,64,25,38,61,19,3,35,12,11,0,1,2,4,0,1,4,1,1,2,1,1,9,0,10,6,1,2,2,6,1,3,3,13,10,0,2,1,0,5,1328,11243,2798,1250,5040,5250,268,119,3545,3275,4,7,7,11,20,1,1,9,6,22,5,23,14,3,9,0,8,2,4,2,8,2,3,1,9,13,3,5,21,8
Cell263,0.5250501002004008,5,162,103,24,87,61,9,25,51,25,1,0,3,0,1,0,2,1,0,1,1,0,1,2,0,1,7,2,2,0,3,1,3,0,1,3,1,1,1,9,718,5446,2208,10548,2237,3610,335,379,3123,7272,15,5,3,12,11,22,3,12,2,23,2,40,27,7,14,8,7,14,3,7,4,2,4,4,3,7,0,1,10,4
Cell264,0.5270541082164328,2,54,50,41,31,54,3,33,24,9,4,0,0,7,0,3,2,1,0,4,0,3,3,2,5,0,0,3,5,2,0,2,0,6,7,0,2,0,0,2,532,1779,4732,7948,16283,6023,277,393,2524,1208,9,32,8,16,10,7,11,34,7,15,1,19,4,3,35,2,1,1,3,2,4,3,2,3,5,21,1,1,28,3
Cell265,0.5290581162324649,12,60,14,119,169,29,6,13,28,33,3,0,3,2,1,5,0,3,1,4,1,5,4,0,11,0,2,1,2,1,1,2,2,3,2,0,0,2,1,9,276,9940,4890,4780,7340,3413,439,386,1596,7183,6,20,10,5,4,9,5,6,19,34,6,1,7,5,17,2,1,5,0,2,1,4,0,6,2,9,0,1,5,0
Cell266,0.531062124248497,5,35,30,87,72,56,6,14,32,58,0,2,4,0,0,3,3,2,0,4,0,1,1,0,5,0,0,2,3,0,1,3,7,2,3,0,1,0,0,2,1013,1305,5970,3885,1099,6650,268,229,11294,4310,15,12,8,11,7,7,7,20,9,20,3,17,8,2,24,2,6,6,7,3,0,2,4,2,6,12,1,3,12,4
Cell267,0.533066132264529,18,46,60,55,90,82,3,23,62,31,0,3,2,3,0,2,0,4,0,1,0,6,4,2,1,0,5,1,5,0,0,2,1,9,0,1,0,1,0,0,153,8650,7802,4301,16614,8398,195,2495,2284,9655,10,31,4,20,0,9,20,2,10,8,9,17,0,10,48,3,1,7,3,2,4,0,2,5,2,1,2,5,6,19
Cell268,0.5350701402805611,6,36,34,81,41,49,9,3,12,18,2,0,2,1,0,1,7,0,0,2,2,4,3,1,2,2,0,2,0,0,2,1,2,3,5,0,2,1,1,9,396,1603,3646,2388,10817,1370,75,905,2138,5348,17,4,13,5,35,1,7,1,15,21,2,7,31,14,38,5,5,3,1,11,3,1,5,3,1,6,1,4,30,14
Cell269,0.5370741482965932,17,7,46,36,141,35,1,24,61,65,1,5,2,0,1,3,2,2,0,2,1,2,3,0,13,3,2,4,2,1,0,1,3,1,1,3,1,1,1,6,544,16815,3181,5974,39817,3084,388,851,2270,1488,14,16,12,3,4,5,24,11,13,14,6,36,13,16,34,4,6,12,1,12,1,0,3,2,0,6,6,0,36,2
Cell270,0.5390781563126252,3,46,29,30,34,102,9,7,63,20,3,0,0,1,2,0,2,5,0,1,3,2,2,2,4,2,1,0,0,2,0,1,1,4,1,0,3,0,2,19,358,4714,2435,8699,7380,2816,287,1429,1516,1656,8,22,8,11,18,2,14,18,1,10,4,18,18,8,74,7,4,9,3,7,1,0,5,9,0,1,0,3,17,9
Cell271,0.5410821643286573,8,3,78,15,112,56,4,0,60,32,3,3,1,0,3,3,8,2,3,9,0,1,2,1,5,1,2,4,2,5,2,1,3,4,1,5,1,1,1,9,290,2649,1888,4797,13763,2284,360,741,2523,1331,15,11,3,9,5,7,71,9,15,13,2,44,17,9,28,5,1,11,4,6,1,0,3,4,1,13,1,1,49,17
Cell272,0.5430861723446894,4,25,156,125,104,37,12,33,32,8,7,0,5,2,0,0,2,0,2,1,1,2,0,0,4,1,6,4,0,1,0,1,2,0,6,4,2,0,1,1,704,6851,5293,8488,13269,7583,67,330,1223,3535,3,16,10,7,24,19,16,18,8,9,6,9,21,19,22,1,9,12,3,9,3,2,2,1,1,8,0,1,25,11
Cell273,0.5450901803607214,17,92,25,44,43,58,1,18,39,22,1,4,1,3,4,0,1,2,0,1,0,2,1,1,22,2,0,6,1,4,0,0,2,3,4,2,2,1,1,3,674,145,3887,3944,26331,11897,694,57,4637,3749,3,35,11,7,27,22,72,12,9,13,1,7,6,12,7,11,0,20,3,6,1,2,3,3,2,3,1,0,22,8
Cell274,0.5470941883767535,6,21,81,38,145,44,2,14,27,36,2,2,2,0,0,3,0,1,2,6,0,5,0,1,1,0,0,11,1,1,3,0,1,12,2,1,0,0,0,0,142,8674,5598,1904,6810,3315,532,514,6172,2314,6,15,3,5,7,9,12,15,6,31,2,15,8,2,5,9,2,9,8,5,3,2,2,3,0,4,0,0,19,3
Cell275,0.5490981963927856,5,19,78,67,31,28,5,9,10,27,1,5,2,0,1,1,0,2,1,1,1,4,2,0,4,2,1,1,2,1,3,0,2,6,2,6,1,1,4,1,121,3749,5853,8490,2061,3501,272,296,8358,5438,13,19,8,6,17,6,26,9,8,9,9,18,14,10,33,8,14,4,9,3,2,0,0,1,2,5,0,0,12,5
Cell276,0.5511022044088176,16,42,29,37,17,57,2,9,51,11,0,2,0,1,3,4,1,1,0,3,0,4,7,1,7,0,0,5,4,3,0,1,0,4,0,1,1,1,4,4,317,2824,2206,16064,16489,818,749,199,79,6701,4,40,10,9,17,20,18,12,25,11,0,35,28,1,58,14,7,13,8,5,2,5,0,2,1,7,1,3,8,5
Cell277,0.5531062124248497,2,86,26,42,74,19,5,9,103,54,1,2,2,2,0,0,1,2,1,3,0,1,0,3,5,0,5,3,3,3,0,2,0,4,2,0,1,1,3,0,276,6061,1562,4954,11639,3754,362,840,13082,9443,8,44,15,14,10,14,6,8,1,11,4,10,6,9,46,3,7,0,5,10,3,0,6,0,1,5,1,3,11,4
Cell278,0.5551102204408818,17,24,75,57,101,38,2,10,92,10,1,3,1,0,0,2,0,1,1,3,2,2,4,5,9,3,1,1,2,1,1,0,0,1,0,0,1,0,0,10,545,13586,4346,4913,9125,3476,197,1057,827,2951,5,14,7,4,11,14,10,12,18,23,10,6,25,18,89,5,6,14,3,3,1,1,0,4,2,8,4,0,29,3
Cell279,0.5571142284569138,3,56,67,32,52,58,9,7,40,15,3,5,1,2,4,4,0,2,3,3,0,3,1,1,7,1,1,3,1,1,1,4,1,5,0,0,4,1,1,3,748,2188,4995,611,12573,3965,178,140,8722,2588,16,3,21,4,9,15,30,17,3,8,8,44,18,13,6,9,6,3,5,6,2,2,2,0,1,5,3,0,1,3
Cell280,0.5591182364729459,12,3,45,40,61,69,1,5,136,31,1,3,1,3,4,3,3,3,0,1,0,5,2,1,4,3,4,1,0,1,2,0,5,2,4,0,0,0,3,4,380,7480,6845,624,3813,4592,222,1681,5524,3560,11,10,23,10,32,18,38,36,1,4,1,59,18,27,154,16,5,2,0,1,1,0,1,1,4,1,2,3,10,5
Cell281,0.561122244488978,3,34,35,98,72,18,5,13,74,27,0,0,1,0,5,3,4,1,2,0,3,3,3,0,6,0,1,1,7,0,3,2,0,3,2,2,1,1,0,10,109,132,3499,3970,12053,15678,177,141,1381,1757,3,6,20,13,9,4,10,23,4,13,2,7,39,10,40,11,7,2,3,8,1,3,4,4,0,11,1,3,17,3
Cell282,0.56312625250501,4,7,64,105,97,30,6,17,97,5,1,1,0,0,0,1,3,8,1,2,3,2,10,1,2,1,0,0,6,4,5,0,3,7,0,3,0,1,1,14,221,6754,6808,5196,15641,3966,563,875,4806,4943,5,15,12,4,4,8,6,8,7,17,6,14,22,8,19,6,2,8,8,7,2,1,4,4,0,8,1,1,9,6
Cell283,0.565130260521042,9,80,23,40,123,62,4,11,53,16,0,0,0,3,2,1,5,7,1,3,0,1,4,1,25,3,3,0,7,1,0,3,0,2,0,2,3,0,1,4,72,1749,7469,4572,19600,10140,117,1415,6889,2867,3,17,5,8,9,8,30,4,1,12,5,41,3,2,42,3,2,1,2,3,1,2,3,0,1,7,0,2,30,1
Cell284,0.567134268537074,8,58,15,32,22,30,2,3,266,22,7,0,0,1,5,0,0,3,5,4,0,1,6,0,5,2,1,2,1,1,1,1,1,1,3,1,0,1,3,2,453,5151,3893,6857,26985,3475,498,548,2891,6696,14,29,2,12,12,7,24,29,4,7,8,4,20,11,13,8,8,10,3,9,2,0,1,6,2,12,0,3,26,2
Cell285,0.5691382765531061,12,28,20,15,111,22,4,13,14,28,6,0,0,0,1,2,2,1,1,0,1,2,1,2,5,2,2,4,3,9,0,4,2,3,4,1,1,2,0,1,268,4911,5843,1016,7437,8092,42,1318,3379,6853,4,25,6,14,10,5,9,26,5,21,12,12,55,7,29,15,0,2,6,1,2,4,0,5,0,3,0,1,6,0
Cell286,0.5711422845691382,17,111,57,46,51,40,4,12,45,30,3,2,4,4,0,3,3,2,5,1,1,1,3,1,0,1,2,6,5,2,0,2,6,6,0,2,0,3,2,4,784,3731,4708,5354,16443,9728,123,747,1814,4709,38,20,13,17,12,1,8,18,13,16,0,2,7,28,51,8,10,14,7,4,0,10,2,1,1,4,2,1,10,7
Cell287,0.5731462925851702,5,55,41,5,85,43,6,12,42,61,3,3,0,1,1,2,2,1,0,3,2,0,6,0,5,1,1,0,1,0,1,1,2,10,2,0,1,6,2,0,322,4601,3224,3538,5867,25322,402,446,7876,5204,19,22,20,23,4,11,13,13,13,8,1,47,8,29,17,19,4,4,14,9,2,1,5,3,3,7,1,0,1,4
Cell288,0.5751503006012023,11,5,42,89,36,17,10,9,28,22,1,3,2,0,5,1,2,4,1,1,3,0,7,1,19,0,2,4,2,3,1,2,3,8,6,2,4,0,4,1,101,9239,2875,7250,22457,3532,231,446,2673,1339,21,26,2,7,3,18,16,6,25,23,3,17,29,26,102,7,2,6,6,6,0,1,1,2,3,11,0,0,6,3
Cell289,0.5771543086172344,4,47,65,37,121,108,1,26,36,26,0,0,0,1,3,0,2,0,1,8,5,0,2,2,5,1,0,1,2,5,2,4,0,4,2,0,0,2,0,4,468,1704,5097,6472,9311,496,662,857,10217,5348,8,4,4,2,4,20,21,21,3,12,4,11,56,15,40,4,7,8,1,13,3,3,0,5,1,8,0,2,16,2
Cell290,0.5791583166332664,2,44,52,20,154,20,8,4,24,16,3,7,0,2,3,2,2,7,1,3,1,2,2,4,13,2,0,2,5,1,0,2,1,1,1,0,0,1,2,6,439,6168,4210,4169,12200,3475,523,493,1848,3160,40,3,13,16,28,5,29,8,16,12,9,27,5,28,57,12,10,7,12,1,3,2,1,5,0,4,1,1,13,2
Cell291,0.5811623246492985,4,15,38,47,226,46,7,18,19,28,3,0,2,0,0,0,1,0,2,2,1,3,2,4,11,2,0,0,0,5,0,0,4,3,2,2,0,0,1,0,428,3659,4402,8889,9397,11105,74,617,2241,2698,21,65,4,17,3,11,23,8,4,14,1,7,41,19,25,10,3,9,3,6,3,5,6,1,0,2,0,2,14,6
Cell292,0.5831663326653306,6,47,64,37,106,60,2,6,28,8,1,2,5,1,11,0,3,0,1,0,0,1,1,2,0,0,2,1,4,1,1,0,3,7,3,1,0,1,1,5,314,5385,2378,7590,14139,5723,157,657,5781,1324,18,11,5,26,27,5,11,14,26,9,3,28,21,27,90,7,3,11,6,3,0,1,0,1,1,4,4,0,1,6
Cell293,0.5851703406813626,12,18,14,26,66,63,3,10,94,17,0,3,2,5,4,0,4,3,1,3,0,6,5,0,5,0,5,2,4,0,0,0,0,2,0,3,2,0,3,2,300,781,4360,7869,12850,4673,296,505,3122,6252,17,7,4,18,27,6,28,6,11,4,5,10,54,8,22,4,3,13,3,2,0,1,0,0,0,9,4,0,7,3
Cell294,0.5871743486973947,5,70,12,26,70,81,11,11,119,17,1,0,3,8,2,0,1,0,0,4,1,0,3,1,5,2,2,5,7,5,5,0,0,2,1,0,1,1,0,3,370,4450,2000,1486,9127,11693,69,239,5840,1610,8,31,16,17,31,12,8,36,8,12,9,45,36,28,73,2,2,5,1,16,1,0,0,1,1,3,0,0,2,0
Cell295,0.5891783567134268,3,25,28,22,41,32,1,15,26,63,2,5,0,2,1,1,0,0,0,3,1,4,3,3,2,0,2,8,1,4,5,0,1,4,3,1,0,0,3,4,440,5790,2126,6386,29792,6678,168,187,2905,5146,16,2,17,14,6,3,15,9,5,19,4,4,2,4,70,3,4,5,2,8,2,3,3,5,2,10,2,1,10,9
Cell296,0.5911823647294588,0,34,69,10,65,24,4,19,29,23,1,1,1,2,0,3,10,1,0,1,2,0,5,1,10,0,0,0,4,11,2,2,1,1,1,3,2,0,1,6,480,1598,6987,7816,4714,1031,222,478,5277,2134,7,21,9,9,7,27,29,14,17,18,2,21,27,21,27,6,10,18,11,1,3,0,2,2,1,0,2,3,7,5
Cell297,0.5931863727454909,8,34,40,43,25,20,8,11,5,25,3,4,3,0,1,6,3,0,0,1,1,4,6,0,14,0,3,3,2,4,2,2,2,0,4,2,1,1,2,0,206,7812,1989,10223,6162,2145,469,1469,4967,1041,32,31,22,14,17,9,6,3,18,3,0,10,21,27,103,4,6,14,5,5,3,0,1,0,0,1,1,1,7,4
Cell298,0.595190380761523,6,73,45,13,40,20,3,7,64,55,2,0,2,2,2,2,1,2,1,2,0,3,4,1,10,0,0,8,4,0,0,2,1,2,2,2,0,2,2,4,661,615,2455,8071,14183,1327,467,947,4914,3685,9,14,5,45,22,7,25,8,8,9,7,24,66,7,22,26,6,12,0,15,3,0,2,2,2,1,2,1,12,1
